epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,11654.6,0.93904,1.72721,1.64392,1.21817,0.51707,0.49018,0.45943,0.36802,0.51752,0.48577,0.45508,0.35379,0.66624,1.34319,1.1162,1.0745,0.00926242,0.00926242,0.00926242
90,11693.5,0.92117,1.7626,1.67709,1.23244,0.50872,0.49581,0.45888,0.37017,0.52909,0.47478,0.45686,0.35117,0.65971,1.34246,1.12248,1.07317,0.00924601,0.00924601,0.00924601
91,11732.5,0.91989,1.75171,1.65789,1.22949,0.51278,0.48836,0.46391,0.36968,0.51514,0.4874,0.46599,0.35927,0.67122,1.34805,1.10517,1.07217,0.00922942,0.00922942,0.00922942
92,11769.3,0.92503,1.68971,1.6511,1.23452,0.52978,0.47403,0.46244,0.36802,0.52926,0.47116,0.46376,0.35836,0.65897,1.32896,1.09605,1.07019,0.00921268,0.00921268,0.00921268
93,11809,0.9331,1.76696,1.68911,1.24544,0.54247,0.47668,0.46091,0.36877,0.54675,0.46748,0.45766,0.35584,0.6543,1.34052,1.09355,1.0677,0.00919576,0.00919576,0.00919576
94,11847.3,0.93742,1.77031,1.69579,1.2518,0.52288,0.50796,0.46422,0.36976,0.52171,0.49784,0.46016,0.35384,0.65925,1.3388,1.10165,1.06992,0.00917869,0.00917869,0.00917869
95,11884.8,0.9627,1.77619,1.66184,1.25871,0.52145,0.48611,0.46568,0.37188,0.5253,0.48362,0.46743,0.3576,0.66153,1.33542,1.12342,1.07363,0.00916145,0.00916145,0.00916145
96,11923.7,0.93348,1.76161,1.61488,1.23658,0.50401,0.48568,0.45772,0.36666,0.50243,0.4793,0.45286,0.3481,0.6604,1.33042,1.13283,1.07041,0.00914405,0.00914405,0.00914405
97,11962.2,0.91845,1.75995,1.62881,1.22337,0.53392,0.44471,0.44796,0.36091,0.53964,0.4293,0.44212,0.33933,0.66303,1.32834,1.1278,1.07604,0.00912649,0.00912649,0.00912649
98,12001.4,0.93728,1.75707,1.63904,1.23622,0.45719,0.47244,0.45729,0.3713,0.45124,0.47819,0.45399,0.34978,0.65218,1.32192,1.10807,1.0676,0.00910876,0.00910876,0.00910876
99,12040.5,0.91687,1.7209,1.60799,1.22814,0.53909,0.47087,0.46422,0.37242,0.53538,0.46697,0.46124,0.35333,0.65339,1.31564,1.08646,1.0655,0.00909088,0.00909088,0.00909088
100,12080.5,0.91526,1.65283,1.6224,1.21824,0.47478,0.51463,0.47522,0.37927,0.46547,0.50435,0.46808,0.36055,0.65173,1.32139,1.08437,1.05917,0.00907284,0.00907284,0.00907284
101,12120,0.92679,1.7265,1.58733,1.22167,0.52063,0.48824,0.47203,0.37851,0.56859,0.45025,0.46647,0.35955,0.64753,1.33304,1.0863,1.06042,0.00905463,0.00905463,0.00905463
102,12159.6,0.92333,1.74898,1.65603,1.23273,0.53392,0.46996,0.46358,0.37246,0.52885,0.46357,0.46005,0.3531,0.64315,1.32391,1.10468,1.06301,0.00903627,0.00903627,0.00903627
103,12199.3,0.91111,1.71759,1.59646,1.21957,0.49453,0.49734,0.46315,0.37623,0.49241,0.4882,0.45681,0.35262,0.63868,1.33057,1.09503,1.05567,0.00901776,0.00901776,0.00901776
104,12239.7,0.91181,1.68585,1.6239,1.21336,0.52602,0.49049,0.46326,0.37616,0.51846,0.48739,0.45309,0.35087,0.63541,1.33263,1.10976,1.05198,0.00899908,0.00899908,0.00899908
105,12280.1,0.89353,1.63257,1.58985,1.20467,0.50441,0.50754,0.46585,0.37758,0.50355,0.49456,0.45828,0.35437,0.63326,1.3135,1.09867,1.05366,0.00898025,0.00898025,0.00898025
106,12319.5,0.89958,1.71736,1.63058,1.20824,0.52067,0.472,0.46443,0.3795,0.51747,0.46196,0.45723,0.35398,0.62632,1.31764,1.09857,1.04887,0.00896127,0.00896127,0.00896127
107,12358.5,0.92226,1.76482,1.64236,1.22377,0.49558,0.49653,0.46785,0.37916,0.49816,0.48896,0.46161,0.35903,0.6368,1.31912,1.08505,1.05355,0.00894213,0.00894213,0.00894213
108,12394.2,0.88908,1.63441,1.5626,1.19618,0.49958,0.52649,0.48149,0.38705,0.50372,0.51423,0.47602,0.36922,0.63852,1.29542,1.06635,1.0545,0.00892283,0.00892283,0.00892283
109,12432.2,0.89627,1.66696,1.56955,1.20951,0.4803,0.50505,0.49072,0.39416,0.47645,0.4968,0.48312,0.3763,0.62866,1.29939,1.05216,1.04868,0.00890339,0.00890339,0.00890339
110,12472,0.8984,1.64387,1.5784,1.20405,0.49367,0.47849,0.48776,0.39277,0.48205,0.47103,0.47641,0.37157,0.62681,1.30629,1.04633,1.04798,0.00888379,0.00888379,0.00888379
111,12513.1,0.91782,1.72491,1.59753,1.22733,0.48372,0.48521,0.481,0.38758,0.48364,0.47936,0.47415,0.37035,0.63121,1.30671,1.05729,1.04847,0.00886404,0.00886404,0.00886404
112,12550.4,0.88981,1.66253,1.52914,1.20231,0.52914,0.48114,0.47508,0.38651,0.52654,0.47688,0.47014,0.36839,0.62716,1.29936,1.0543,1.04476,0.00884414,0.00884414,0.00884414
113,12590.3,0.88532,1.65884,1.53601,1.18969,0.55227,0.48962,0.48108,0.38881,0.54759,0.48324,0.4775,0.37174,0.62968,1.30364,1.05378,1.04425,0.00882409,0.00882409,0.00882409
114,12627.9,0.90822,1.64464,1.58045,1.20041,0.53425,0.50479,0.48588,0.39261,0.53625,0.49763,0.48133,0.37545,0.62458,1.29706,1.05167,1.03857,0.00880389,0.00880389,0.00880389
115,12666.2,0.88211,1.66688,1.52554,1.20144,0.54911,0.48273,0.48049,0.38787,0.55185,0.48141,0.47888,0.37129,0.63097,1.2938,1.06134,1.04606,0.00878354,0.00878354,0.00878354
116,12705.1,0.91168,1.74746,1.58981,1.2102,0.52787,0.52057,0.48404,0.39042,0.52537,0.51047,0.47771,0.37323,0.63016,1.29113,1.05588,1.04575,0.00876305,0.00876305,0.00876305
117,12742.8,0.87817,1.64011,1.56172,1.20524,0.51296,0.51379,0.48265,0.38913,0.52134,0.50422,0.47759,0.37204,0.63155,1.2884,1.05832,1.04256,0.00874241,0.00874241,0.00874241
118,12782.5,0.89786,1.69101,1.56486,1.20161,0.56842,0.48255,0.48237,0.39146,0.56732,0.47646,0.47828,0.37241,0.62997,1.28979,1.05789,1.04332,0.00872162,0.00872162,0.00872162
119,12823,0.88294,1.68783,1.51338,1.1873,0.56977,0.49138,0.48721,0.39567,0.56977,0.48848,0.48519,0.37885,0.62834,1.2997,1.04772,1.04369,0.00870069,0.00870069,0.00870069
120,12862.3,0.87083,1.64051,1.50372,1.18812,0.5381,0.50898,0.48648,0.39347,0.54337,0.5086,0.48487,0.37746,0.62701,1.30187,1.04053,1.04387,0.00867961,0.00867961,0.00867961
121,12901.2,0.88429,1.67899,1.57924,1.2025,0.52691,0.5046,0.48097,0.39024,0.52486,0.49933,0.48037,0.3734,0.62624,1.30294,1.04241,1.04557,0.00865839,0.00865839,0.00865839
