epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1829.79,0.50649,0.7767,0.45996,0.88651,0.85452,0.6733,0.77643,0.65815,0.81617,0.66897,0.75251,0.53408,0.54363,0.96491,1.48408,0.96128,0.00943189,0.00943189,0.00943189
79,1852.4,0.50994,0.77403,0.46872,0.888,0.80315,0.70065,0.78344,0.63234,0.76887,0.64526,0.72053,0.52318,0.63568,1.11015,1.43604,1.03537,0.00941734,0.00941734,0.00941734
80,1874.96,0.51497,0.7914,0.47188,0.88947,0.81116,0.65774,0.76459,0.64648,0.80613,0.62541,0.73741,0.52231,0.58204,1.00946,1.42294,0.98205,0.00940262,0.00940262,0.00940262
81,1897.12,0.51698,0.79659,0.47078,0.89919,0.87852,0.68346,0.80529,0.65268,0.86437,0.67082,0.77481,0.56456,0.5503,0.92229,1.55351,0.95965,0.00938772,0.00938772,0.00938772
82,1918.93,0.51357,0.77998,0.46282,0.88812,0.90069,0.66295,0.8051,0.65338,0.85687,0.61767,0.74394,0.53921,0.54777,0.95768,1.50122,0.95567,0.00937265,0.00937265,0.00937265
83,1941.08,0.50724,0.78474,0.45374,0.88635,0.83962,0.74611,0.82079,0.65781,0.79609,0.67988,0.74821,0.54132,0.58872,0.97608,1.42593,0.99147,0.00935741,0.00935741,0.00935741
84,1963.61,0.50734,0.77274,0.4638,0.88727,0.83779,0.74396,0.81114,0.66338,0.8001,0.69455,0.74077,0.52593,0.53661,0.91679,1.52973,0.94483,0.009342,0.009342,0.009342
85,1985.62,0.50498,0.77894,0.46046,0.88947,0.79631,0.73483,0.79617,0.67164,0.77365,0.70309,0.76011,0.55674,0.56742,0.9457,1.39892,0.97862,0.00932642,0.00932642,0.00932642
86,2007.7,0.50625,0.7749,0.4579,0.8885,0.86221,0.72176,0.8113,0.67804,0.83368,0.70166,0.77811,0.55411,0.54318,1.01852,1.45129,0.95234,0.00931067,0.00931067,0.00931067
87,2030.09,0.49781,0.77152,0.44418,0.8802,0.79881,0.73495,0.78343,0.63637,0.8082,0.6479,0.72914,0.54085,0.58358,0.98274,1.34274,0.98897,0.00929476,0.00929476,0.00929476
88,2051.75,0.49584,0.75301,0.44391,0.88567,0.81976,0.7182,0.80303,0.66419,0.84546,0.65217,0.74357,0.54194,0.53308,0.98173,1.44797,0.94244,0.00927867,0.00927867,0.00927867
89,2072.66,0.49863,0.77532,0.44933,0.8864,0.83177,0.74283,0.81189,0.676,0.80089,0.67518,0.73198,0.53395,0.55747,1.03787,1.33955,0.96826,0.00926242,0.00926242,0.00926242
90,2095.25,0.49625,0.76899,0.43836,0.88141,0.87731,0.65909,0.78836,0.64025,0.84986,0.61788,0.74432,0.53463,0.57048,0.97143,1.39271,0.98617,0.00924601,0.00924601,0.00924601
91,2117.8,0.50468,0.77006,0.45346,0.88648,0.86795,0.69186,0.81245,0.66443,0.85737,0.64701,0.77644,0.56137,0.52201,0.88029,1.38462,0.94779,0.00922942,0.00922942,0.00922942
92,2140.87,0.49645,0.76367,0.45717,0.88241,0.92647,0.67269,0.83474,0.6932,0.91237,0.65695,0.80503,0.58784,0.55973,0.90581,1.39716,0.96291,0.00921268,0.00921268,0.00921268
93,2163.55,0.48853,0.75522,0.43892,0.88222,0.88177,0.68279,0.82281,0.66918,0.83533,0.63021,0.74287,0.54031,0.57303,0.97777,1.4338,0.97519,0.00919576,0.00919576,0.00919576
94,2186.48,0.49488,0.75634,0.4448,0.8821,0.85728,0.72076,0.81358,0.65905,0.78618,0.67055,0.73414,0.54008,0.58296,0.96844,1.32472,1.0005,0.00917869,0.00917869,0.00917869
95,2209.41,0.49466,0.76857,0.43904,0.88137,0.88863,0.73728,0.83638,0.67639,0.81859,0.66611,0.75539,0.54264,0.54089,0.93728,1.37892,0.9611,0.00916145,0.00916145,0.00916145
96,2232.22,0.49608,0.75901,0.43956,0.88133,0.88856,0.71537,0.83518,0.68857,0.81445,0.64345,0.75554,0.5479,0.56782,0.99136,1.44825,0.97285,0.00914405,0.00914405,0.00914405
97,2254.98,0.50036,0.7651,0.44481,0.88932,0.89118,0.67323,0.80041,0.66034,0.84788,0.65588,0.75782,0.54994,0.60239,1.0779,1.52735,1.00239,0.00912649,0.00912649,0.00912649
98,2277.61,0.49263,0.75729,0.44287,0.87981,0.88807,0.77273,0.86072,0.70761,0.8535,0.74492,0.81947,0.57747,0.56232,0.9764,1.30929,0.96681,0.00910876,0.00910876,0.00910876
99,2300.42,0.49247,0.76701,0.43756,0.88274,0.8775,0.69432,0.83135,0.67265,0.83599,0.66453,0.79263,0.55706,0.54576,0.97501,1.33218,0.95357,0.00909088,0.00909088,0.00909088
100,2322.61,0.48723,0.75647,0.42568,0.88044,0.91208,0.69127,0.79753,0.64888,0.89219,0.66705,0.76243,0.53008,0.60059,0.95741,1.54144,1.00518,0.00907284,0.00907284,0.00907284
101,2344.65,0.48836,0.74405,0.42993,0.88478,0.89147,0.71152,0.85699,0.70436,0.83214,0.71959,0.82765,0.58866,0.54736,0.91931,1.38053,0.97879,0.00905463,0.00905463,0.00905463
102,2366.56,0.48905,0.75253,0.4292,0.88286,0.85621,0.73044,0.83109,0.67264,0.79282,0.68605,0.74635,0.53647,0.52774,0.9793,1.4263,0.95284,0.00903627,0.00903627,0.00903627
103,2389.52,0.48719,0.73863,0.42611,0.88313,0.87768,0.7156,0.79954,0.65423,0.83842,0.66757,0.7406,0.53164,0.55568,1.05926,1.51258,0.97339,0.00901776,0.00901776,0.00901776
104,2412.56,0.48643,0.74824,0.42676,0.87885,0.83998,0.73079,0.8336,0.70174,0.84475,0.64742,0.77407,0.57135,0.54976,1.03859,1.35556,0.97189,0.00899908,0.00899908,0.00899908
105,2435.56,0.48945,0.74567,0.4442,0.87982,0.87959,0.71263,0.79971,0.64891,0.85704,0.69206,0.75458,0.53232,0.54084,0.94069,1.42212,0.96517,0.00898025,0.00898025,0.00898025
106,2458.54,0.48162,0.75607,0.43905,0.87834,0.90585,0.71687,0.83763,0.68373,0.8754,0.68328,0.78821,0.55423,0.54968,0.99507,1.40748,0.96558,0.00896127,0.00896127,0.00896127
107,2481.66,0.48958,0.75918,0.44347,0.89183,0.87627,0.68656,0.79361,0.65429,0.85562,0.64956,0.75139,0.53286,0.56203,0.98467,1.56941,0.97305,0.00894213,0.00894213,0.00894213
108,2504.28,0.49568,0.7685,0.43373,0.88472,0.88446,0.71598,0.84398,0.70042,0.87005,0.69515,0.83348,0.60058,0.54504,0.84729,1.41192,0.98154,0.00892283,0.00892283,0.00892283
109,2527.32,0.4831,0.74146,0.422,0.8778,0.85498,0.74651,0.8438,0.70166,0.84863,0.71673,0.82405,0.60946,0.56245,0.94161,1.26995,0.99704,0.00890339,0.00890339,0.00890339
110,2549.74,0.47872,0.72164,0.41313,0.87534,0.83271,0.74838,0.83307,0.68157,0.85917,0.67629,0.79403,0.56413,0.57708,0.97629,1.35273,0.9985,0.00888379,0.00888379,0.00888379
