epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2472.65,0.51315,0.80316,0.47512,0.89115,0.9709,0.98437,0.99086,0.94379,0.96926,0.98297,0.988,0.85674,0.33837,0.54189,0.25844,0.81089,0.00944628,0.00944628,0.00944628
78,2504.89,0.5092,0.78538,0.4695,0.88707,0.97691,0.98368,0.9919,0.94528,0.97691,0.98368,0.99113,0.85976,0.34321,0.54622,0.24572,0.81739,0.00943189,0.00943189,0.00943189
79,2535.66,0.50641,0.79388,0.46872,0.88784,0.96554,0.9892,0.99115,0.94654,0.9654,0.98992,0.99127,0.85401,0.34225,0.53743,0.25277,0.81342,0.00941734,0.00941734,0.00941734
80,2567.16,0.50075,0.79834,0.46399,0.88702,0.97899,0.98659,0.99176,0.94379,0.97731,0.98529,0.98938,0.85528,0.33746,0.53729,0.2495,0.81273,0.00940262,0.00940262,0.00940262
81,2597.96,0.50383,0.79379,0.46398,0.88667,0.98521,0.97934,0.99125,0.94693,0.98514,0.97889,0.99117,0.8589,0.33084,0.54153,0.24322,0.81157,0.00938772,0.00938772,0.00938772
82,2630.23,0.50203,0.7876,0.46335,0.88717,0.97924,0.98322,0.99164,0.94461,0.97892,0.9829,0.99177,0.86017,0.34178,0.53556,0.24565,0.81261,0.00937265,0.00937265,0.00937265
83,2662.31,0.50446,0.78162,0.4551,0.88443,0.9776,0.98622,0.99328,0.94858,0.97576,0.98509,0.99029,0.8601,0.33391,0.52631,0.24031,0.80822,0.00935741,0.00935741,0.00935741
84,2693.44,0.50118,0.778,0.45271,0.88373,0.98058,0.98369,0.99166,0.95133,0.97884,0.98236,0.99038,0.86995,0.33257,0.52276,0.24412,0.81075,0.009342,0.009342,0.009342
85,2724.73,0.49736,0.7816,0.45225,0.88122,0.97875,0.98258,0.99207,0.95002,0.97875,0.98258,0.99207,0.86773,0.33915,0.523,0.24202,0.81092,0.00932642,0.00932642,0.00932642
86,2755.57,0.50056,0.79483,0.45877,0.88595,0.98114,0.98434,0.99198,0.94504,0.97947,0.98299,0.99053,0.85742,0.33695,0.5361,0.23709,0.81217,0.00931067,0.00931067,0.00931067
87,2787.45,0.49592,0.77912,0.45267,0.8822,0.97474,0.98472,0.99358,0.95227,0.97311,0.9834,0.99021,0.86834,0.33017,0.52728,0.23994,0.81195,0.00929476,0.00929476,0.00929476
88,2819.4,0.49396,0.78095,0.44059,0.8797,0.97524,0.98924,0.99382,0.95062,0.97427,0.98584,0.99199,0.86484,0.33098,0.5143,0.24032,0.80868,0.00927867,0.00927867,0.00927867
89,2852.33,0.50071,0.77258,0.4527,0.88518,0.97373,0.98957,0.99291,0.94444,0.97352,0.98748,0.99089,0.86794,0.3335,0.52101,0.24035,0.81068,0.00926242,0.00926242,0.00926242
90,2884.85,0.4933,0.77144,0.44513,0.88217,0.98217,0.98325,0.99205,0.94899,0.98217,0.98325,0.99205,0.86666,0.32956,0.51623,0.23386,0.80983,0.00924601,0.00924601,0.00924601
91,2918,0.49403,0.76964,0.45238,0.8807,0.98119,0.9868,0.99124,0.94595,0.98119,0.9868,0.99,0.86759,0.33422,0.53525,0.23981,0.80956,0.00922942,0.00922942,0.00922942
92,2949.62,0.49717,0.77293,0.44662,0.88515,0.97254,0.98874,0.99203,0.95029,0.97095,0.98738,0.99138,0.87495,0.33166,0.51059,0.23632,0.81122,0.00921268,0.00921268,0.00921268
93,2983.34,0.49201,0.76323,0.44652,0.87883,0.97301,0.98491,0.99292,0.94687,0.97301,0.98491,0.99155,0.86784,0.33269,0.5136,0.2415,0.80805,0.00919576,0.00919576,0.00919576
94,3014.52,0.48889,0.7587,0.43935,0.88169,0.98155,0.98525,0.9927,0.95464,0.98155,0.98525,0.99143,0.86419,0.32502,0.51764,0.23467,0.80583,0.00917869,0.00917869,0.00917869
95,3045.81,0.49348,0.78186,0.44118,0.8815,0.9769,0.98929,0.99253,0.95402,0.97535,0.98795,0.99147,0.87003,0.32241,0.50746,0.23396,0.8049,0.00916145,0.00916145,0.00916145
96,3077.73,0.4889,0.75536,0.43538,0.88016,0.97835,0.9882,0.99249,0.95261,0.97835,0.9882,0.99249,0.87123,0.32502,0.50312,0.23006,0.80836,0.00914405,0.00914405,0.00914405
97,3108.99,0.48922,0.75644,0.44129,0.88278,0.97842,0.98815,0.99214,0.95113,0.97679,0.98679,0.99115,0.86797,0.32164,0.50444,0.23204,0.80613,0.00912649,0.00912649,0.00912649
98,3140.74,0.48197,0.75933,0.43719,0.87964,0.9636,0.99014,0.99319,0.95501,0.96616,0.98706,0.99097,0.86686,0.32099,0.49988,0.23118,0.80668,0.00910876,0.00910876,0.00910876
99,3173.9,0.48565,0.76222,0.43181,0.87966,0.97329,0.9893,0.99119,0.9503,0.97514,0.98605,0.98868,0.86418,0.32587,0.51461,0.23493,0.8059,0.00909088,0.00909088,0.00909088
100,3206.38,0.47974,0.74151,0.42823,0.87311,0.98347,0.98522,0.99408,0.95403,0.9842,0.98165,0.98987,0.86606,0.32125,0.50364,0.22683,0.80406,0.00907284,0.00907284,0.00907284
101,3238.49,0.48519,0.7421,0.44086,0.88043,0.98081,0.98949,0.99241,0.95479,0.97922,0.98815,0.99058,0.86971,0.31829,0.50448,0.22573,0.80498,0.00905463,0.00905463,0.00905463
102,3270.31,0.48128,0.74288,0.4252,0.87777,0.97345,0.98644,0.99197,0.95185,0.9719,0.98504,0.99096,0.8667,0.31851,0.50355,0.23365,0.80727,0.00903627,0.00903627,0.00903627
103,3301.6,0.48667,0.74639,0.42589,0.87981,0.97847,0.98752,0.99242,0.95258,0.97697,0.98612,0.9915,0.87153,0.31927,0.49906,0.22708,0.8061,0.00901776,0.00901776,0.00901776
104,3331.91,0.48597,0.7551,0.43132,0.88293,0.97431,0.98655,0.99219,0.95233,0.97431,0.98655,0.99219,0.8751,0.31779,0.49993,0.22791,0.80361,0.00899908,0.00899908,0.00899908
105,3363.93,0.48222,0.74957,0.42466,0.87898,0.98124,0.99135,0.99252,0.9565,0.98119,0.99144,0.99252,0.87711,0.31225,0.50438,0.22064,0.79971,0.00898025,0.00898025,0.00898025
106,3394.57,0.48035,0.75127,0.42615,0.87517,0.98097,0.98844,0.99289,0.95726,0.98097,0.98844,0.99237,0.87027,0.30773,0.50107,0.22386,0.80088,0.00896127,0.00896127,0.00896127
107,3427.88,0.48135,0.75617,0.42651,0.87811,0.97846,0.98589,0.99369,0.95813,0.97935,0.98311,0.99171,0.87213,0.31177,0.50144,0.22422,0.80219,0.00894213,0.00894213,0.00894213
108,3459.85,0.4822,0.75097,0.42091,0.8798,0.97453,0.98766,0.99124,0.9586,0.97453,0.98766,0.99124,0.87307,0.30752,0.49773,0.21947,0.80066,0.00892283,0.00892283,0.00892283
109,3492.57,0.47817,0.7446,0.42231,0.87665,0.97059,0.98393,0.99337,0.96025,0.96781,0.98128,0.99003,0.87772,0.30491,0.49887,0.21905,0.79928,0.00890339,0.00890339,0.00890339
110,3524.68,0.47916,0.74552,0.42083,0.87974,0.97624,0.98582,0.9922,0.95485,0.97289,0.98297,0.98977,0.87447,0.30592,0.49992,0.21819,0.80197,0.00888379,0.00888379,0.00888379
111,3556.02,0.47929,0.75339,0.41693,0.87586,0.97845,0.9907,0.9926,0.95857,0.97845,0.9907,0.9926,0.8721,0.30808,0.50342,0.21663,0.80124,0.00886404,0.00886404,0.00886404
112,3587.39,0.4762,0.7543,0.41791,0.87318,0.9737,0.98562,0.9922,0.95593,0.9737,0.98562,0.99219,0.87156,0.30829,0.49358,0.22437,0.8029,0.00884414,0.00884414,0.00884414
113,3619.46,0.48019,0.74646,0.42218,0.8791,0.97036,0.98228,0.99214,0.95769,0.97049,0.98153,0.99214,0.87752,0.31017,0.49105,0.22139,0.80266,0.00882409,0.00882409,0.00882409
114,3650.67,0.47598,0.73701,0.41887,0.8781,0.97391,0.98441,0.99204,0.96022,0.97391,0.98441,0.99204,0.88166,0.30732,0.49349,0.21613,0.79933,0.00880389,0.00880389,0.00880389
115,3681.67,0.47484,0.74108,0.4199,0.87328,0.97737,0.99195,0.99303,0.96234,0.97737,0.99195,0.99153,0.88203,0.30119,0.48696,0.21209,0.79879,0.00878354,0.00878354,0.00878354
116,3713.16,0.46954,0.73977,0.41149,0.87543,0.97851,0.99144,0.99436,0.95993,0.9798,0.9894,0.99259,0.87939,0.30273,0.49326,0.21311,0.80021,0.00876305,0.00876305,0.00876305
117,3743.37,0.46868,0.71985,0.40472,0.87252,0.97322,0.98962,0.99383,0.95962,0.96976,0.98641,0.98998,0.88006,0.30389,0.48565,0.21549,0.79881,0.00874241,0.00874241,0.00874241
118,3774.41,0.47403,0.73287,0.40883,0.87562,0.97216,0.99037,0.994,0.9605,0.9736,0.98578,0.99027,0.88035,0.29616,0.48434,0.21634,0.79745,0.00872162,0.00872162,0.00872162
119,3806.41,0.47108,0.73436,0.40962,0.8745,0.97492,0.98933,0.99136,0.95517,0.97492,0.98933,0.99136,0.87956,0.30145,0.48191,0.21812,0.80027,0.00870069,0.00870069,0.00870069
120,3837.84,0.46425,0.72932,0.40644,0.86996,0.98028,0.98665,0.99228,0.96041,0.98028,0.98665,0.99228,0.8807,0.29876,0.48099,0.21079,0.79879,0.00867961,0.00867961,0.00867961
121,3868.5,0.4659,0.72186,0.40695,0.87311,0.97196,0.99158,0.99203,0.96333,0.97196,0.99158,0.99203,0.88186,0.29998,0.48116,0.21531,0.79766,0.00865839,0.00865839,0.00865839
122,3897.14,0.47023,0.73422,0.4036,0.87509,0.97273,0.99027,0.99189,0.96319,0.96971,0.98719,0.98949,0.8831,0.29876,0.48094,0.21509,0.79725,0.00863703,0.00863703,0.00863703
123,3928.61,0.47129,0.75392,0.41201,0.87641,0.97441,0.98978,0.99182,0.96522,0.97426,0.98979,0.99143,0.87818,0.29369,0.48072,0.2084,0.79745,0.00861553,0.00861553,0.00861553
124,3962.19,0.46607,0.72667,0.40221,0.87244,0.9752,0.99087,0.99213,0.96043,0.97489,0.99055,0.99212,0.87831,0.30073,0.48852,0.21326,0.79866,0.00859389,0.00859389,0.00859389
125,3995.84,0.4679,0.73472,0.40735,0.87572,0.981,0.98766,0.9922,0.96378,0.98068,0.98734,0.99219,0.8803,0.2946,0.48194,0.20647,0.7963,0.0085721,0.0085721,0.0085721
126,4029.15,0.47074,0.7369,0.41315,0.87714,0.97276,0.99302,0.99387,0.9638,0.97255,0.99255,0.99191,0.88368,0.29304,0.47534,0.2111,0.79631,0.00855018,0.00855018,0.00855018
127,4062.05,0.46618,0.72507,0.40167,0.86792,0.98415,0.98506,0.99291,0.95966,0.98383,0.98474,0.99227,0.88013,0.2956,0.47654,0.2071,0.79614,0.00852812,0.00852812,0.00852812
