epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,881.888,0.77012,0.85315,1.10446,0.90239,0.85354,0.91005,0.77121,0.63772,0.65947,0.99405,0.00959289,0.00959289,0.00959289
67,894.44,0.76238,0.84347,1.08302,0.88533,0.88022,0.90956,0.78367,0.61694,0.64485,0.97872,0.00958044,0.00958044,0.00958044
68,907.274,0.76934,0.84017,1.0975,0.93362,0.86277,0.9251,0.79395,0.61298,0.61398,0.97402,0.00956782,0.00956782,0.00956782
69,919.837,0.76928,0.85146,1.10031,0.91982,0.84081,0.91852,0.76744,0.6563,0.61112,1.00286,0.00955502,0.00955502,0.00955502
70,932.44,0.75016,0.81502,1.07918,0.89293,0.81364,0.87842,0.74778,0.6636,0.73075,1.02505,0.00954205,0.00954205,0.00954205
71,945.416,0.76847,0.82972,1.09624,0.92883,0.80728,0.90547,0.75997,0.66902,0.67244,1.03135,0.00952889,0.00952889,0.00952889
72,958.586,0.75776,0.84621,1.09609,0.89171,0.85938,0.9146,0.78818,0.6155,0.62328,0.97716,0.00951556,0.00951556,0.00951556
73,971.782,0.73012,0.81263,1.08695,0.91615,0.84667,0.90895,0.7738,0.62402,0.62633,0.98229,0.00950206,0.00950206,0.00950206
74,985.087,0.75272,0.83982,1.08544,0.93412,0.85733,0.91941,0.78465,0.63293,0.58418,0.98985,0.00948837,0.00948837,0.00948837
75,998.607,0.72721,0.81633,1.07244,0.9298,0.84236,0.92461,0.79632,0.60749,0.60354,0.97254,0.00947452,0.00947452,0.00947452
76,1012.1,0.77178,0.84606,1.07841,0.9143,0.86027,0.92512,0.78484,0.62433,0.59694,0.99026,0.00946048,0.00946048,0.00946048
77,1025.41,0.75744,0.82849,1.09412,0.91808,0.8505,0.91971,0.7839,0.62075,0.61881,0.98769,0.00944628,0.00944628,0.00944628
78,1038.9,0.75732,0.82075,1.09384,0.91497,0.85276,0.91925,0.78344,0.60981,0.59913,0.97789,0.00943189,0.00943189,0.00943189
79,1052.11,0.73401,0.81518,1.08004,0.89162,0.85568,0.91383,0.77931,0.63344,0.62486,0.98975,0.00941734,0.00941734,0.00941734
80,1064.71,0.71298,0.75571,1.0601,0.91485,0.86499,0.92295,0.79814,0.59556,0.58351,0.96734,0.00940262,0.00940262,0.00940262
81,1077.28,0.72103,0.76335,1.06025,0.91499,0.85958,0.92665,0.78154,0.64306,0.57486,0.9967,0.00938772,0.00938772,0.00938772
82,1090.68,0.73265,0.73973,1.07757,0.93152,0.8435,0.92784,0.80197,0.60985,0.58313,0.9778,0.00937265,0.00937265,0.00937265
83,1103.95,0.73902,0.7641,1.0749,0.90237,0.87994,0.93571,0.80839,0.59197,0.55273,0.96613,0.00935741,0.00935741,0.00935741
84,1117.15,0.72045,0.72813,1.06289,0.92335,0.87576,0.93217,0.81097,0.58855,0.54686,0.96564,0.009342,0.009342,0.009342
85,1130.23,0.73605,0.78127,1.08842,0.95259,0.85428,0.93317,0.80943,0.57959,0.53633,0.95582,0.00932642,0.00932642,0.00932642
86,1143.5,0.72218,0.78525,1.07895,0.90764,0.84565,0.91363,0.7777,0.63464,0.6222,1.00077,0.00931067,0.00931067,0.00931067
87,1157.18,0.72607,0.76977,1.07533,0.88152,0.87683,0.90989,0.7825,0.6004,0.5975,0.96744,0.00929476,0.00929476,0.00929476
88,1170.41,0.72995,0.7796,1.08837,0.91905,0.87122,0.93279,0.79905,0.59161,0.55442,0.96518,0.00927867,0.00927867,0.00927867
89,1183.39,0.70243,0.76376,1.06116,0.91816,0.86738,0.94196,0.80296,0.60059,0.55626,0.96134,0.00926242,0.00926242,0.00926242
90,1196.56,0.73121,0.79822,1.06705,0.90379,0.87521,0.9371,0.8038,0.60056,0.55127,0.95919,0.00924601,0.00924601,0.00924601
91,1209.61,0.71555,0.74777,1.05978,0.90428,0.88258,0.93822,0.80556,0.5991,0.54456,0.97228,0.00922942,0.00922942,0.00922942
92,1223.53,0.71571,0.7506,1.05141,0.92288,0.8866,0.94401,0.8019,0.59761,0.55016,0.9631,0.00921268,0.00921268,0.00921268
93,1237.65,0.72715,0.73975,1.07288,0.90223,0.86366,0.93298,0.79763,0.60634,0.56953,0.97461,0.00919576,0.00919576,0.00919576
94,1251.13,0.71519,0.74965,1.07125,0.92888,0.86842,0.93351,0.80856,0.59587,0.57248,0.95969,0.00917869,0.00917869,0.00917869
95,1264.46,0.73199,0.78171,1.05948,0.91239,0.89761,0.94432,0.81,0.60237,0.53632,0.96375,0.00916145,0.00916145,0.00916145
96,1277.98,0.72555,0.74154,1.07534,0.91656,0.87449,0.93767,0.80608,0.59515,0.54694,0.95688,0.00914405,0.00914405,0.00914405
97,1291.64,0.74458,0.76143,1.08853,0.914,0.86861,0.93498,0.81772,0.57694,0.53242,0.94876,0.00912649,0.00912649,0.00912649
98,1304.96,0.73122,0.74638,1.06992,0.91684,0.89481,0.94307,0.81584,0.57844,0.53265,0.95252,0.00910876,0.00910876,0.00910876
99,1317.76,0.7126,0.71835,1.06847,0.92596,0.88711,0.94723,0.81543,0.59147,0.51475,0.96256,0.00909088,0.00909088,0.00909088
100,1331.77,0.734,0.76491,1.07299,0.93456,0.89447,0.94313,0.81315,0.60787,0.5202,0.96395,0.00907284,0.00907284,0.00907284
101,1345.51,0.70663,0.75464,1.06635,0.94242,0.88419,0.94674,0.8195,0.59104,0.51976,0.95837,0.00905463,0.00905463,0.00905463
102,1359.14,0.69387,0.69727,1.0595,0.93924,0.87933,0.92993,0.81102,0.59421,0.54717,0.96193,0.00903627,0.00903627,0.00903627
103,1372.56,0.7096,0.74322,1.05724,0.94246,0.89475,0.94964,0.82285,0.58198,0.50538,0.95362,0.00901776,0.00901776,0.00901776
104,1385.61,0.71107,0.72668,1.05617,0.92546,0.8889,0.94232,0.81954,0.57949,0.50254,0.94498,0.00899908,0.00899908,0.00899908
105,1398.66,0.7281,0.72507,1.05625,0.92286,0.89481,0.94811,0.8268,0.56392,0.51013,0.9434,0.00898025,0.00898025,0.00898025
106,1412.29,0.66664,0.67922,1.03854,0.92608,0.88288,0.94626,0.81812,0.5785,0.50703,0.95401,0.00896127,0.00896127,0.00896127
107,1425.91,0.69594,0.73397,1.06141,0.93452,0.88039,0.94986,0.82196,0.58669,0.51201,0.94559,0.00894213,0.00894213,0.00894213
108,1438.61,0.7093,0.70779,1.06443,0.93963,0.90015,0.94083,0.81846,0.56357,0.49615,0.94795,0.00892283,0.00892283,0.00892283
